id,latitude,longitude,clc_secteur,haut_tot,haut_tronc,fk_revetement,tronc_diam,fk_stadedev,fk_nomtech,fk_port,feuillage
1,49.84050020512298,3.2932636093638927,"Quai Gayant",6,2,Non,37,Jeune,QUERUB,"semi libre",Feuillu
2,49.840732990162316,3.2941793904574377,"Quai Gayant",5,2,Non,24,Jeune,QUERUB,"semi libre",Feuillu
3,49.84100958969832,3.2952675830733034,"Quai Gayant",5,2,Non,33,Jeune,QUERUB,"semi libre",Feuillu
4,49.861408713361236,3.273379794709001,"Stade Cepy",13,1,Non,160,Adulte,PINNIGNIG,"semi libre",Conifère
5,49.848521273429114,3.2907283252709028,"Square Churchill",20,3,Non,415,vieux,AESHIP,"semi libre",Feuillu
6,49.85068279223022,3.293791321750049,"Parc des Champs-Elysées",25,12,Non,270,senescent,ACEPSE,"semi libre",Feuillu
7,49.858067271741916,3.291366616898525,"Rue Gaston Bonnier",6,3,Non,150,Adulte,TILTOM,architecturé,Feuillu
8,49.83446986476363,3.306323332859688,"Rue de la Fère",8,2,Non,79,Jeune,ACEPLAPUR,architecturé,Feuillu
9,49.848650142069836,3.290181032030339,"Square Churchill",11,2,Non,80,Jeune,GINBIL,"semi libre",Conifère
10,49.83234813665718,3.3073750877552475,"Rue de la Fère",5,4,Oui,140,Adulte,TILCOR,"tête de chat",Feuillu
